Obs,House,Character,Dialogue
7774,Gryffindor,Ron,"Now I'm really depressed. Fred hands Ron a note, it reads ""GET A MOVE ON OR ALL THE GOOD "
7775,Gryffindor,Ron,"Well Hermione, you're a girl. "
7776,Gryffindor,Ron,Come on. It's one thing for a bloke to show up alone. For a girl it's just sad. 
7777,Gryffindor,Ron,Bloody hell. Hermione storms off. 
7778,Gryffindor,Ron,"Look. We've just got to grit our teeth and do it. Tonight when we get back to the common room, we'll both have partners. Agreed? "
7779,Gryffindor,Ron,"There she was walking by. You know I like it when they walk. I couldn't help it, it just sort of slipped out. "
7780,Gryffindor,Ron,What else? I ran for it. I'm not cut out for this Harry. I don't know what got into me. The Patil twins walk past. 
7781,Gryffindor,Ron,"Bloody hell. Harry walks in, he's dressed in a more conventional suit. "
7782,Gryffindor,Ron,What are those?? 
7783,Gryffindor,Ron,"Well they're alright. No lace, no dodgy little collar. "
7784,Gryffindor,Ron,Traditional?? They're ancient! I look like my great aunt Tessie. He sniffs at his clothes. 
7785,Gryffindor,Ron,I smell like my great aunt Tessie. Murder me Harry. 
7786,Gryffindor,Ron,"Poor kid, bet she's alone in her room crying her eyes out. "
7787,Gryffindor,Ron,"Hermione of course. Come on Harry, why'd you think she wouldn't tell us who she's coming with? "
7788,Gryffindor,Ron,Because nobody asked her. I would have taken her myself if she weren't so bleeding proud. The boys approach the Patil twins. 
7789,Gryffindor,Ron,No. Absolutely not. Loud music plays as the champions head to the dancefloor with their partners. 
7790,Gryffindor,Ron,"No, we'd NOT care to join you and Viktor. "
7791,Gryffindor,Ron,He's a Durmstrang. You're fraternising with the enemy. 
7792,Gryffindor,Ron,"Hrmph, I think he's got a bit more than friendship on his mind. Hermione walks off. "
7793,Gryffindor,Ron,No. 
7794,Gryffindor,Ron,(To Hermione) He's using you. 
7795,Gryffindor,Ron,Doubt it. He's way too old. 
7796,Gryffindor,Ron,Yeah that is what I think. 
7797,Gryffindor,Ron,Go on. 
7798,Gryffindor,Ron,Well that's completely off the point. Harry... Harry walks up. 
7799,Gryffindor,Ron,They get scary when they get older. 
7800,Gryffindor,Ron,Well... yeah... a bit Fleur kisses him too. 
7801,Gryffindor,Ron,Merci. Hermione comes up to Harry with a towel. 
7802,Gryffindor,Ron,Blimey even when you go wrong it turns out right. 
7803,Gryffindor,Ron,We're still misfits. 
7804,Gryffindor,Ron,Do you think we'll ever just have a quiet year at Hogwarts? 
7805,Gryffindor,Ron,Well I won't. You know I won't! 
7806,Gryffindor,Ron, No.
7807,Gryffindor,Ron," [clears throat] Sunshine, daisies, butter mellow... turn this stupid, fat rat yellow!"
7808,Gryffindor,Ron," [muffled] Um, Ron Weasley."
7809,Gryffindor,Ron, Fred and George are on the team too. Beaters.
7810,Gryffindor,Ron, What do they think they're doing? Keeping a thing like that locked up in a school?
7811,Gryffindor,Ron, I wasn't looking at its feet! I was a bit preoccupied with its heads. Or maybe you didn't notice. They were three!
7812,Gryffindor,Ron, She needs to sort out her priorities.
7813,Gryffindor,Ron," ""Fluffy""?!"
7814,Gryffindor,Ron," [In a timid, high voice] Okay."
7815,Gryffindor,Ron, I'm ready! Ask me any question.
7816,Gryffindor,Ron, ...I forgot.
7817,Gryffindor,Ron, Copy off you?
7818,Gryffindor,Ron," That's insulting! It's as if they don't trust us! [checks a card, irritated] Dumbledore again!"
7819,Gryffindor,Ron," [Neville comes hopping in, his legs apparently stuck together] Leg-Locker Curse?"
7820,Gryffindor,Ron," You have got to start standing up to people, Neville."
7821,Gryffindor,Ron," 'Dumbledore is particularly famous for his defeat of the Dark"" Wizard Grindelwald in 1945–'"
7822,Gryffindor,Ron," '-for his discovery of the 12 uses of Dragon Blood, and his work on alchemy with his partner Nicolas Flamel!'"
7823,Gryffindor,Ron," Honestly, Professor Snape, I think it did more damage to us."
7824,Gryffindor,Ron," We'll go and get our stuff, then."
7825,Gryffindor,Ron," You're going to expel us, aren't you?"
7826,Gryffindor,Ron, That bloody bird's a menace. [looks at the letter] Oh no!
7827,Gryffindor,Ron, Those are Nimbus Two-Thousand and Ones! How did you get those?
7828,Gryffindor,Ron," You'll pay for that one, Malfoy! Eat slugs!"
7829,Gryffindor,Ron, [laughs] Who cares?
7830,Gryffindor,Ron, [gets nudged by Harry (disguised as Goyle)] Ahem... stomachache.
7831,Gryffindor,Ron," But it can't hurt if someone throws something at you. I mean, it'd just go right through you."
7832,Gryffindor,Ron, We don't even know this Tom Riddle. He sounds like a dirty rotten snitch to me.
7833,Gryffindor,Ron," [Sarcastically] That will be a cheerful visit. ""Hello, Hagrid. Tell us, have you sent anything mad and hairy loose in the castle lately?"""
7834,Gryffindor,Ron," Hagrid's right. With Dumbledore gone, there'll be an attack a day."
7835,Gryffindor,Ron, What?
7836,Gryffindor,Ron," They're heading to the Dark Forest! [Harry ignores him] Why spiders?! Why couldn't be ""follow the butterflies""?! [follows Harry out the door]"
7837,Gryffindor,Ron, [noticing other giant spiders around them; whimpering] Harry...
7838,Gryffindor,Ron, [sounding like he's about to cry] Harry?
7839,Gryffindor,Ron, [to Harry] Can we panic now? [the spiders move in for the attack] Know any spells?
7840,Gryffindor,Ron, Where's Hermione when you need her?
7841,Gryffindor,Ron," But if it kills by looking people in the eye, why is it no one's dead?"
7842,Gryffindor,Ron," And Mrs. Norris? I'm pretty sure she didn't have a camera or a mirror, Harry."
7843,Gryffindor,Ron," But how's a basilisk been getting around? A dirty, great snake. Someone would have seen it."
7844,Gryffindor,Ron," ""Pipes?"" It's using the plumbing!"
7845,Gryffindor,Ron, Moaning Myrtle.
7846,Gryffindor,Ron," [reads it] ""Her skeleton will lie in the Chamber forever"". Ginny..."
7847,Gryffindor,Ron, What about my sister?!
7848,Gryffindor,Ron, You're the Defence Against the Dark Arts teacher! You can't go now!
7849,Gryffindor,Ron, Is there anything you can do?
7850,Gryffindor,Ron," Bloody hell. Whoever shed this must be 60 feet long, or more. [Lockhart pretends to pass out. Ron notices.] Heart of a lion, this one."
7851,Gryffindor,Ron, Harry?! Harry!
7852,Gryffindor,Ron, I'm fine.
7853,Gryffindor,Ron," Uh, Ron Weasley."
7854,Gryffindor,Ron, [to Harry] Lockhart's Memory Charm backfired! He hasn't got a clue who he is!
7855,Gryffindor,Ron, [takes the rock from Lockhart] No.
7856,Gryffindor,Ron, What do I do now?
7857,Gryffindor,Ron, Okay.
7858,Gryffindor,Ron,Bloody hell!
7859,Gryffindor,Ron,"My wand, look at my wand."
7860,Gryffindor,Ron,"That would be a cheerful visit. ""Hello Hagrid, Tell us, have you been setting anything mad and hairy loose in the castle lately?"""
7861,Gryffindor,Ron,"Why spiders?! Why couldn't it be ""follow the butterflies""?!"
7862,Gryffindor,Ron,"""Follow the spiders! Follow the spiders!"" If Hagrid ever gets out of Azkaban, I'll kill him!"
7863,Gryffindor,Ron,"""Her skeleton will lie in the Chamber forever."" Ginny..."
7864,Gryffindor,Ron,"Bloody hell, Harry! That was not funny!"
7865,Gryffindor,Ron,"[Looking at tea leaves] Harry's got a sort of wonky cross, that's trials and suffering... but that there could be the sun and that's happiness. So... you're gonna suffer, but you're gonna be happy about it."
7866,Gryffindor,Ron,"What's up, Malfoy? Lost your skis?"
7867,Gryffindor,Ron,"[Observing his leg after Sirius, as a dog, attacked him] It's too late. It's ruined. It'll have to be chopped off."
7868,Gryffindor,Ron,What are you trying do to him?! [Sirius snatches Scabbers from Ron] Scabbers! Leave him alone! Get off him! What are you doing?
7869,Gryffindor,Ron," I'm warning you, Hermione! Keep that bloody beast of yours away from Scabbers, or I'll turn it into a tea cozy!"
7870,Gryffindor,Ron, A cat? Is that what they told you? Looks more like a pig with hair if you ask me!
7871,Gryffindor,Ron, I haven't shown anyone!
7872,Gryffindor,Ron," He looks a bit peaky, doesn't he?"
7873,Gryffindor,Ron," Well, you fell off your broom."
7874,Gryffindor,Ron," There's um... something else you should know about, too, Harry. When you fell, your broom, it sort of blew into the Whomping Willow and... [Holds up what's left of the destroyed handle of Harry's Nimbus 2000] ...Well."
7875,Gryffindor,Ron," Hermione, no! He's not worth it!"
7876,Gryffindor,Ron, [impressed] Not good. Brilliant!
7877,Gryffindor,Ron, Me?! He's mental!
7878,Gryffindor,Ron, Scabbers has been in my family for...
7879,Gryffindor,Ron, So what?!
7880,Gryffindor,Ron," What are you trying do to him? [Sirius finally gets a hold of the rat] Scabbers! Leave him alone! [tries to run toward Sirius, but Hermione holds him back] Get off him! What are you doing? Scabbers!"
7881,Gryffindor,Ron," [to Harry and Hermione, who have just disappeared and reappeared in thin air] How did you get there? I was just talking to you there! And now you're there!"
7882,Gryffindor,Ron," [turning Harry away] Shove off, Malfoy!"
7883,Gryffindor,Ron,Bloody hell.
7884,Gryffindor,Ron,Loads. According to dad. It's what worried them so much. Happened right under their noses.
7885,Gryffindor,Ron,"Murder me, Harry."
7886,Gryffindor,Ron,"[bitterly] That's me. Ron Weasley, Harry Potter's stupid friend."
7887,Gryffindor,Ron,Piss off.
7888,Gryffindor,Ron,"This is mad. At this rate, we'll be the only ones in our year without dates."
7889,Gryffindor,Ron, [scared out of his wits] Yes?
7890,Gryffindor,Ron," Well, my dad did tell me about one. The Imperius Curse."
7891,Gryffindor,Ron, I reckon you'd have to be barking mad to put your name in the Goblet of Fire.
7892,Gryffindor,Ron," Well, I'm the not only who thought you'd done it. Everyone was saying it behind your back."
7893,Gryffindor,Ron, Least I warned you about the dragons.
7894,Gryffindor,Ron," No, no, no. I did. No, don't you remember? I told Hermione to tell you that Seamus told me that Parvati told Dean that Hagrid was looking for you, Seamus never actually told me anything, so it was really me all along. I thought we'd be all right, you know, after you'd figured that out."
7895,Gryffindor,Ron, Yeah. Isn't it? I suppose I was a bit distraught.
7896,Gryffindor,Ron," [To Seamus] Something's about to burst out of Eloise Midgen, but I don't think it's a swan."
7897,Gryffindor,Ron, What are those?! What are those?!
7898,Gryffindor,Ron," Well, they're all right! No lace, no dodgy little collar..."
7899,Gryffindor,Ron, [about Krum] He’s using you.
7900,Gryffindor,Ron," Doubt it, he’s way too old."
7901,Gryffindor,Ron," Yeah, that’s what I think!"
7902,Gryffindor,Ron, Go on.
7903,Gryffindor,Ron, Well... that-that-that... that’s just completely off the point. [sees Harry approaching] Harry.
7904,Gryffindor,Ron, They get scary when they get older.
7905,Gryffindor,Ron," Yeah, yeah, a bit. [Fleur kisses Ron on both cheeks as well before checking on her little sister] Merci."
7906,Gryffindor,Ron, Do you think we'll ever just have a quiet year at Hogwarts?
7907,Gryffindor,Ron," Yeah, I didn't think so. Oh well, what's life without a few dragons?"
7908,Gryffindor,Ron," Oh, I won't. You know I won't."
7909,Gryffindor,Ron, Git.
7910,Gryffindor,Ron," Hermione, I hate your cat."
7911,Gryffindor,Ron, What's what?
7912,Gryffindor,Ron, Illuminating? What a load o' waffle!
7913,Gryffindor,Ron, [entering the Common Room] What's going on?
7914,Gryffindor,Ron," Yeah, I do. Has anyone else got a problem with Harry? [Harry has stormed into the boys' dorm - Ron hot on his tail - and is starting to get ready for bed] You alright?"
7915,Gryffindor,Ron," Seamus was bang out of order, mate. But he'll come through. You'll see--"
7916,Gryffindor,Ron, [taken aback] Right. I'll just leave you to your thoughts then. [leaves the dormitory]
7917,Gryffindor,Ron, We're not gonna use magic?
7918,Gryffindor,Ron," Bloody hell, Harry, the woman's torturing you! If the parents knew about this-!"
7919,Gryffindor,Ron, Not bloody likely!
7920,Gryffindor,Ron," [pleasantly surprised] Who are you, and what have you done with Hermione Granger?"
7921,Gryffindor,Ron, The what?
7922,Gryffindor,Ron," So, say you really needed the toilet...?"
7923,Gryffindor,Ron," Why. Because You-Know-Who's back, you tosspot."
7924,Gryffindor,Ron, Third year he fought off about a hundred dementors at once.
7925,Gryffindor,Ron," Don't worry, I'll go easy on you."
7926,Gryffindor,Ron," That bad at it, are you?"
7927,Gryffindor,Ron, Think a bit of snogging would cheer her up.
7928,Gryffindor,Ron," [after a long pause] One person couldn't feel all that, they'd explode!"
7929,Gryffindor,Ron, You did everything you could. No one could win against that old hag.
7930,Gryffindor,Ron," Yeah, we talked you into it..."
7931,Gryffindor,Ron, Are you mental? We're going with you!
7932,Gryffindor,Ron, I told them I was hungry and wanted some sweets. Of course they told me to bugger off and ate the lot themselves.
7933,Gryffindor,Ron, [smiles] It's been known to happen.
7934,Gryffindor,Ron," Maybe you don't have to do this all by yourself, mate."
7935,Gryffindor,Ron, Yeah?
7936,Gryffindor,Ron, How much for this?
7937,Gryffindor,Ron, How much for me?
7938,Gryffindor,Ron, I'm your brother!
7939,Gryffindor,Ron, [to Hermione and Ginny] Don't worry. He'll be here in a minute. [starts eating]
7940,Gryffindor,Ron," Oi. Turn around, you lunatic!"
7941,Gryffindor,Ron, Looks like it's his own this time.
7942,Gryffindor,Ron," Believe me, Professor, I’ve been asking myself the same question for six years."
7943,Gryffindor,Ron, [about Ginny and Dean] What is it he sees in her?
7944,Gryffindor,Ron, Attractive?
7945,Gryffindor,Ron, Skin. So you think Dean's dating my sister because of her skin?
7946,Gryffindor,Ron," Hermione's got nice skin. You know, as skin goes, I mean."
7947,Gryffindor,Ron, What's with the birds?
7948,Gryffindor,Ron," [as he is sitting down] Yeah, I'll just... Get... Yeah. [Offering the platter] Pie?"
7949,Gryffindor,Ron," So, did you and Ginny do it, then?"
7950,Gryffindor,Ron," You know, hide the book?"
7951,Gryffindor,Ron, [croaks] Uh... Hermione... Her... my... nee. Hermione...
7952,Gryffindor,Ron,[Referring to Hermione] We won't last two days without her. [pause] Don't tell her I said that.
7953,Gryffindor,Ron,[after barely managing to destroy a horcrux] Just think. Only three more to go.
7954,Gryffindor,Ron,[About Xenophilius] That treacherous little bleeder! Is there no one we can trust?
7955,Gryffindor,Ron," The world's mental. Come on, we've got a Horcrux to find."
7956,Gryffindor,Ron, [as Cattermole] Morning.
7957,Gryffindor,Ron," [as Cattermole] Harry! Blimey, forgot what you look like. Where's Hermione?"
7958,Gryffindor,Ron," [as Cattermole] Oh, my God. What am I gonna do? My wife's all alone downstairs."
7959,Gryffindor,Ron," [as Cattermole] Oh, right."
7960,Gryffindor,Ron, [as Cattermole] Have you tried an umbrella?
7961,Gryffindor,Ron," The sword was stolen. [Walks up, turns the lamp back on with his Deluminator. Ron has a stony look on his face. The locket/horcrux around his neck is affecting him greatly] Yeah. I'm still here. But you two carry on. Don't let me spoil your fun."
7962,Gryffindor,Ron," Well, nothing's wrong. Not according to you, anyway."
7963,Gryffindor,Ron," All right, I'll spit it out. But don't expect me to be grateful just because now there's another damn thing we've gotta find."
7964,Gryffindor,Ron," Yeah. I thought I did, too."
7965,Gryffindor,Ron, I just thought after all this time we would have actually achieved something! I thought you knew what you were doing! I thought Dumbledore would've told you something worthwhile! I thought you had a plan!
7966,Gryffindor,Ron," [bitterly] Yeah and we're about as close to getting rid of it as we are to finding the rest of them, aren't we?"
7967,Gryffindor,Ron," You don't know why I listen to that radio every night, do you? To make sure I don't hear Ginny's name. Or Fred, or George, or Mum..."
7968,Gryffindor,Ron," NO, YOU DON'T KNOW HOW IT FEELS! Your parents are dead! You have no family!"
7969,Gryffindor,Ron," [takes out the deluminator] With this. It doesn't just turn off lights. I don't know how it works, but Christmas morning, I was sleeping in this little pub, keeping away from some Snatchers, and I heard it."
7970,Gryffindor,Ron," A voice. Your voice, Hermione. Coming out of it."
7971,Gryffindor,Ron," My name. Just my name. Like a whisper. So I took it, clicked it and this tiny ball of light appeared. And I knew. And sure enough, it floated towards me, the ball of light, right through my chest and straight through me. Right here. [he touches his heart] And I knew it was going to take me where I needed to go."
7972,Gryffindor,Ron, How long do you think she'll stay mad at me?
7973,Gryffindor,Ron," It was true, every word. This is gonna sound crazy, but I think that's why Dumbledore left it to me, the Deluminator. I think he knew that somehow I'd need it to find my way back, and she'd lead me."
7974,Gryffindor,Ron,[About Griphook] That little git. Least we've still got Bogrod. [Bogrod gets incinerated by the dragon] That's unfortunate.
7975,Gryffindor,Ron,"That's my girlfriend, you numpties!"
7976,Gryffindor,Ron,Goyle's setting the bloody place on fire!
7977,Gryffindor,Ron,"[about saving Malfoy] If we die for them, Harry, I'm gonna KILL YOU!"
7978,Gryffindor,Ron," Rescuing you, of course. Now, come on. Get your trunk!…"
7979,Gryffindor,Ron, You’d better stand back. Let’s go!
7980,Gryffindor,Ron, Come on.
7981,Gryffindor,Ron," Come on, Harry! Hurry up!"
7982,Gryffindor,Ron, I’ve got you Harry!
7983,Gryffindor,Ron, Drive!
7984,Gryffindor,Ron, Do you think it’d be all right if we had some of this?
7985,Gryffindor,Ron," It’s not much, but it’s home."
7986,Gryffindor,Ron," They were starving him, Mum. There were bars on his window!"
7987,Gryffindor,Ron, Ginny. She’s been talking about you all summer. A bit annoying really.
7988,Gryffindor,Ron," Dad works in the Ministry of Magic, in the Misuse of Muggle Artifacts Office. Dad loves Muggles, thinks they’re fascinating."
7989,Gryffindor,Ron, He’s always doing that.
7990,Gryffindor,Ron," But Harry’s never traveled by Floo powder before, Mum."
7991,Gryffindor,Ron, Diagon Alley!
7992,Gryffindor,Ron, Mum fancies him.
7993,Gryffindor,Ron, Whao!
7994,Gryffindor,Ron, I don’t know. The gateway’s sealed its self for some reason.
7995,Gryffindor,Ron," Harry, if we can’t get through, maybe Mum and Dad can’t get back!"
7996,Gryffindor,Ron, The car…
7997,Gryffindor,Ron," Uh, right. Okay."
7998,Gryffindor,Ron, Oh no! The Invisibility Booster must be faulty!
7999,Gryffindor,Ron, Okay.
8000,Gryffindor,Ron, We can’t be far behind.
8001,Gryffindor,Ron, We must be gettin’ close.
8002,Gryffindor,Ron, Harry! Hold on! Take my hand! Hold on!
8003,Gryffindor,Ron, Yeah.
8004,Gryffindor,Ron, Welcome home.
8005,Gryffindor,Ron, It’s not working! Ahhhh!
8006,Gryffindor,Ron, Stop! Stop! Stop! Huh… Aahh!
8007,Gryffindor,Ron, Ahh-ha-ha! My wand! Look at my wand!
8008,Gryffindor,Ron, What’s happening?
8009,Gryffindor,Ron, Ahh! Ahhhh! Ahh!
8010,Gryffindor,Ron," Scabbers, you OK? The car! …Dad’s gonna kill me."
8011,Gryffindor,Ron," Honestly, Professor Snape, I think it did more damage to us."
8012,Gryffindor,Ron," We’ll go and get our stuff, then."
8013,Gryffindor,Ron," You’re going to expel us, aren’t you?"
8014,Gryffindor,Ron," Huhh… Say it, I’m doomed."
8015,Gryffindor,Ron," Bloody bird’s a menace. Oh, no!"
8016,Gryffindor,Ron, What do we do now?
8017,Gryffindor,Ron, Uh-oh. I smell trouble.
8018,Gryffindor,Ron, Those are Nimbus Two Thousand and Ones! How did you get those?
8019,Gryffindor,Ron," You’ll pay for that one, Malfoy. Eat slugs!"
8020,Gryffindor,Ron, (Blech…)
8021,Gryffindor,Ron, (Blech…)
8022,Gryffindor,Ron, (Blech…)
8023,Gryffindor,Ron, (Blech…) It’s disgusting.
8024,Gryffindor,Ron, Hear what?
8025,Gryffindor,Ron, Kill?
8026,Gryffindor,Ron, I don’t like spiders… What’s that?
8027,Gryffindor,Ron, Are you mad?
8028,Gryffindor,Ron, Ahem. Vera verto!
8029,Gryffindor,Ron, Three guesses who.
8030,Gryffindor,Ron, D’you think it’s true? D’you think there really is a Chamber of Secrets?
8031,Gryffindor,Ron, Let’s think. Who do we know who thinks all Muggle-borns are scum?
8032,Gryffindor,Ron," Of course. You heard him! ‘You’ll be next Mudbloods,’"
8033,Gryffindor,Ron, Crabbe and Goyle must know. Maybe we could trick them into telling.
8034,Gryffindor,Ron, Wicked! Malfoy’ll tell us anything.
8035,Gryffindor,Ron, I’ll stop it.
8036,Gryffindor,Ron," Enlighten me. Why are we brewing this potion in broad daylight, in the middle of a girl’s lavatory? Don’t you think we’ll get caught?"
8037,Gryffindor,Ron, Why?
8038,Gryffindor,Ron, Who?
8039,Gryffindor,Ron, Who’s Moaning Myrtle?
8040,Gryffindor,Ron, Who cares?
8041,Gryffindor,Ron, You’re a Parselmouth? Why didn’t you tell us?
8042,Gryffindor,Ron," Oh, that’s what you said to it!"
8043,Gryffindor,Ron, I heard you speaking Parseltongue. Snake language?
8044,Gryffindor,Ron," Exactly! Now the whole school’s gonna think you’re his great- greatgreat grandson, or something."
8045,Gryffindor,Ron, How?
8046,Gryffindor,Ron, Whose hair are you ripping out then?
8047,Gryffindor,Ron, Ahem…
8048,Gryffindor,Ron, Yeah. Right.
8049,Gryffindor,Ron, How thick could you get?
8050,Gryffindor,Ron, Ugh- essence of Crabbe.
8051,Gryffindor,Ron, I think I’m gonna be sick!
8052,Gryffindor,Ron, That was close!
8053,Gryffindor,Ron, Look at your tail!
8054,Gryffindor,Ron, Have you spoken to Hermione?
8055,Gryffindor,Ron, Yuck!
8056,Gryffindor,Ron," But, it can’t hurt if someone throws something at you. I mean, it’ll just go right through you."
8057,Gryffindor,Ron," We don’t even know this Tom Riddle. He sounds like a dirty, rotten snitch to me."
8058,Gryffindor,Ron," That’ll be a cheerful visit! “Hello, Hagrid! Tell us, have you been setting anything mad and hairy loose in the castle lately?”"
8059,Gryffindor,Ron," Who ever it was, they must have been looking for something."
8060,Gryffindor,Ron, Hermione!
8061,Gryffindor,Ron, But you heard McGonagall! We’re not allowed to leave the tower except for class.
8062,Gryffindor,Ron," That’s Dad’s boss! Cornelius Fudge, Minister of Magic!"
8063,Gryffindor,Ron," Hagrid’s right! With Dumbledore gone, there’ll be an attack a day!"
8064,Gryffindor,Ron, What?!
8065,Gryffindor,Ron, They’re headed to the Dark Forest! Why spiders! Why couldn’t it be “follow the butterflies?”
8066,Gryffindor,Ron," Harry, I don’t like this… Harry, I don’t like this at all!"
8067,Gryffindor,Ron, Can we go back now?
8068,Gryffindor,Ron, Harry.
8069,Gryffindor,Ron, Harry!
8070,Gryffindor,Ron, Ahh- hhh…
8071,Gryffindor,Ron, Can we panic now?
8072,Gryffindor,Ron, Know any spells?
8073,Gryffindor,Ron, Where’s Hermione when you need her?
8074,Gryffindor,Ron, Glad we’re out of there! Ah- Aaaah!
8075,Gryffindor,Ron, Thanks for that.
8076,Gryffindor,Ron, The flying gear’s jammed!
8077,Gryffindor,Ron, I’m trying!
8078,Gryffindor,Ron," Follow the spiders! Follow the spiders! If Hagrid ever gets out of Azkaban, I’ll kill him! I mean, what was the point of sending us in there? What have we found out?"
8079,Gryffindor,Ron, What’s that?
8080,Gryffindor,Ron," But if it kills by looking people in the eye, why is it no one’s dead?"
8081,Gryffindor,Ron," And Mrs. Norris? I’m pretty sure she didn’t have a camera or a mirror, Harry."
8082,Gryffindor,Ron, But how’s a basilisk been getting around? A dirty great snake- someone would have seen it.
8083,Gryffindor,Ron, Pipes? It’s using the plumbing!
8084,Gryffindor,Ron, Moaning Myrtle.
8085,Gryffindor,Ron, ‘Her skeleton will lie in the chamber forever.’ Ginny…
8086,Gryffindor,Ron, What about my sister?!
8087,Gryffindor,Ron, You’re the Defense Against the Dark Arts teacher! You can’t go now!
8088,Gryffindor,Ron, Is there anything you can do?
8089,Gryffindor,Ron," Say something. Harry, say something in Parseltongue!"
8090,Gryffindor,Ron, Better you than us.
8091,Gryffindor,Ron, Ugh!
8092,Gryffindor,Ron, Go on.
8093,Gryffindor,Ron, What’s this?
8094,Gryffindor,Ron," Bloody hell. Whatever shed this must be sixty feet long-- or more! Heart of a lion, this one."
8095,Gryffindor,Ron, Harry! Harry!
8096,Gryffindor,Ron, I’m fine!
8097,Gryffindor,Ron, Um…Ron Weasley.
8098,Gryffindor,Ron, Lockhart’s memory charm backfired. He hasn’t got a clue who he is!
8099,Gryffindor,Ron, No!
8100,Gryffindor,Ron, What’ll do I do now?
8101,Gryffindor,Ron, OK.
8102,Gryffindor,Ron," Thanks, sir!"
8103,Gryffindor,Ron," Uhh-um… Welcome back, Hermione."
8104,Gryffindor,Ron, Uh… Harry?
8105,Gryffindor,Ron, Bloody hell!
8106,Gryffindor,Ron, Uh… Bloody hell.
8107,Gryffindor,Ron, But where’s Hermione?
8108,Gryffindor,Ron, Okay.
8109,Gryffindor,Ron," What are you doing d- uh, I mean… What are you doing down here?"
8110,Gryffindor,Ron, Uhh…
8111,Gryffindor,Ron, Ahem…Stomachache.
8112,Gryffindor,Ron, S- scar.
8113,Gryffindor,Ron," Excuse me, do you mind? Everywhere else is full."
8114,Gryffindor,Ron," {sits across from Harry} I'm Ron, by the way. Ron Weasley."
8115,Gryffindor,Ron," So-so it's true?! I mean, do you really have the...the..."
8116,Gryffindor,Ron, {whispers} Scar...?
8117,Gryffindor,Ron, Wicked.
8118,Gryffindor,Ron," {Holds up mushed sandwiches} No, thanks, I'm all set. {smacks lips.}"
8119,Gryffindor,Ron, Whoa!
8120,Gryffindor,Ron," They mean every flavour! There's chocolate and peppermint, and there's also spinach, liver and tripe. George sweared he got a bogey-flavoured one once!"
8121,Gryffindor,Ron," It's only a spell. Besides, it's the cards you want. Each pack's got a famous witch or wizard. I got about 500 meself."
8122,Gryffindor,Ron," Oh, that's rotten luck. They've only got one good jump in them to begin with."
8123,Gryffindor,Ron, I got about 6 of him.
8124,Gryffindor,Ron," Well, you can't expect him to hang around all day, can you? {Scabbers squeaks} This is Scabbers, by the way, pitiful, isn't he?"
8125,Gryffindor,Ron, Fred gave me a spell as to turn him yellow. Want to see?
8126,Gryffindor,Ron, {clears throat} Ahem. Sun-
8127,Gryffindor,Ron, No.
8128,Gryffindor,Ron," Aghhhemm. Sunshine, daises, butter mellow, turn this stupid fat rat yellow!"
8129,Gryffindor,Ron, {full mouth} I'm...Ron Weasley.
8130,Gryffindor,Ron, Whoaa!
8131,Gryffindor,Ron, Wicked.
8132,Gryffindor,Ron," Mental that one, I'm telling you."
8133,Gryffindor,Ron, There isn't a witch or wizard who went bad who wasnt in Slytherin.
8134,Gryffindor,Ron," Harry, what is it?"
8135,Gryffindor,Ron, {Sighs}
8136,Gryffindor,Ron, Ahh!
8137,Gryffindor,Ron," Hey, I know you! You're Nearly Headless Nick!"
8138,Gryffindor,Ron, Ahh!
8139,Gryffindor,Ron," Look at that one, Harry!"
8140,Gryffindor,Ron," Whew, amazing, can you imagine the look on old McGonagall's face if we were late?"
8141,Gryffindor,Ron, That was bloody brilliant.
8142,Gryffindor,Ron," Turn it into rum. Actually managed a weak tea yesterday, before..."
8143,Gryffindor,Ron, Ah. Mail's here!
8144,Gryffindor,Ron," Up!! {His broom flies up and conks him on the nose} Ow! {Harry laughs} Shut up, Harry. {laughs}"
8145,Gryffindor,Ron, Seeker? But first years never make their house teams! You must be the youngest Quidditch player in
8146,Gryffindor,Ron," Fred and George are on the team, too. Beaters."
8147,Gryffindor,Ron," Oh, go on, Harry, Quidditch is great. Best game there is! And you'll be great, too! {Hermione jumps up from her work and comes to join them.}"
8148,Gryffindor,Ron," Whoa. Harry, you never told me your father was a Seeker, too."
8149,Gryffindor,Ron," I'm telling you, it's spooky. She knows more about you than you do."
8150,Gryffindor,Ron, Ahh!
8151,Gryffindor,Ron," Before the staircase moves again. {They all open a door and walk into a spooky, dark room.}"
8152,Gryffindor,Ron, It's Filch's cat!
8153,Gryffindor,Ron," That's it, we're done for!"
8154,Gryffindor,Ron, Alohomora?
8155,Gryffindor,Ron, Probably thinks this door's locked.
8156,Gryffindor,Ron, What do they think they're doing?? Keeping a thing like that locked up in a school.
8157,Gryffindor,Ron," I wasn't looking at its feet! I was a bit preoccupied with its heads. Or maybe you didn't notice, there were three! {they begin to climb the stairs to the dorms.}"
8158,Gryffindor,Ron, She needs to sort out her priorities!
8159,Gryffindor,Ron, Wingardrium Leviosar. {whacks with wand numerous times.}
8160,Gryffindor,Ron," You do it then if you're so clever. Go on, go on."
8161,Gryffindor,Ron," It's Leviosa, not Leviosar. Honestly, she's a nightmare. No wonder she hasn't got any friends!"
